sensor_platform,Fishing out of season,Fishing in a prohibited zone,Dark Vessels (not broadcasting location via VMS/AIS),Transhipments,Gear-related offense,Vessel with false flag,Fishing without license,Underreporting of fishing effort,Underreporting of fishing catch,Fishing above quota
long_range_camera by usv,21642,21642,21642,12469,5809,5809,5809,4536,4536,4536
long_range_camera by aerial_drone,38013,38013,38013,25447,15394,15394,15394,13273,13273,13273
long_range_camera by smart_buoy,8012,8012,8012,2922,346,346,346,95,95,95
long_range_camera by manned_vessel,166190,166190,166190,138544,113411,113411,113411,107521,107521,107521
long_range_camera by manned_aircraft,196350,196350,196350,166190,138544,138544,138544,132025,132025,132025
long_range_camera by on_shore_command_center,8012,8012,8012,2922,346,346,346,95,95,95
radio_frequency by usv,12469,12469,12469,3421,3421,3421,3421,3421,3421,3421
radio_frequency by aerial_drone,25447,25447,25447,11310,11310,11310,11310,11310,11310,11310
radio_frequency by smart_buoy,2922,2922,2922,1,1,1,1,1,1,1
radio_frequency by manned_vessel,138544,138544,138544,101788,101788,101788,101788,101788,101788,101788
radio_frequency by manned_aircraft,166190,166190,166190,125664,125664,125664,125664,125664,125664,125664
radio_frequency by on_shore_command_center,2922,2922,2922,1,1,1,1,1,1,1
hydroacoustics by usv,7238,7238,7238,3421,3421,3421,3421,3421,3421,3421
hydroacoustics by aerial_drone,17671,17671,17671,11310,11310,11310,11310,11310,11310,11310
hydroacoustics by smart_buoy,755,755,755,1,1,1,1,1,1,1
hydroacoustics by manned_vessel,119459,119459,119459,101788,101788,101788,101788,101788,101788,101788
hydroacoustics by manned_aircraft,145220,145220,145220,125664,125664,125664,125664,125664,125664,125664
hydroacoustics by on_shore_command_center,755,755,755,1,1,1,1,1,1,1
radar by usv,21642,21642,21642,3421,3421,3421,3421,3421,3421,3421
radar by aerial_drone,38013,38013,38013,11310,11310,11310,11310,11310,11310,11310
radar by smart_buoy,8012,8012,8012,1,1,1,1,1,1,1
radar by manned_vessel,166190,166190,166190,101788,101788,101788,101788,101788,101788,101788
radar by manned_aircraft,196350,196350,196350,125664,125664,125664,125664,125664,125664,125664
radar by on_shore_command_center,8012,8012,8012,1,1,1,1,1,1,1
onboard_observer by usv,3632,3632,3632,3632,3632,3632,3632,3632,3632,3632
onboard_observer by aerial_drone,11690,11690,11690,11690,11690,11690,11690,11690,11690,11690
onboard_observer by smart_buoy,7,7,7,7,7,7,7,7,7,7
onboard_observer by manned_vessel,102922,102922,102922,102922,102922,102922,102922,102922,102922,102922
onboard_observer by manned_aircraft,126923,126923,126923,126923,126923,126923,126923,126923,126923,126923
onboard_observer by on_shore_command_center,7,7,7,7,7,7,7,7,7,7
