sensor,platform,total_cost,total_cost_bins,data_type
highly_sensitive_hydroacoustics,large_aerial_drone,3,$$$,Location
highly_sensitive_hydroacoustics,manned_aircraft,3,$$$,Location
highly_sensitive_hydroacoustics,manned_vessel,3,$$$,Location
highly_sensitive_hydroacoustics,on_shore_command_center,3,$$$,Location
highly_sensitive_hydroacoustics,small_aerial_drone,3,$$$,Location
highly_sensitive_hydroacoustics,smart_buoy,3,$$$,Location
highly_sensitive_hydroacoustics,usv,3,$$$,Location
hydroacoustics,large_aerial_drone,2,$$,Location
hydroacoustics,manned_aircraft,3,$$$,Location
hydroacoustics,manned_vessel,3,$$$,Location
hydroacoustics,on_shore_command_center,3,$$$,Location
hydroacoustics,small_aerial_drone,2,$$,Location
hydroacoustics,smart_buoy,2,$$,Location
hydroacoustics,usv,2,$$,Location
long_range_camera,large_aerial_drone,2,$$,"Image, Video"
long_range_camera,manned_aircraft,3,$$$,"Image, Video"
long_range_camera,manned_vessel,3,$$$,"Image, Video"
long_range_camera,on_shore_command_center,3,$$$,"Image, Video"
long_range_camera,usv,2,$$,"Image, Video"
mid_range_camera,manned_vessel,3,$$$,"Image, Video"
mid_range_camera,on_shore_command_center,3,$$$,"Image, Video"
mid_range_camera,small_aerial_drone,1,$,"Image, Video"
onboard_observer,manned_vessel,3,$$$,"Image, Video, Location, Eye-witness"
radar,manned_aircraft,3,$$$,Location
radar,manned_vessel,3,$$$,Location
radar,smart_buoy,1,$,Location
radar,usv,2,$$,Location
radio_frequency,large_aerial_drone,2,$$,Location
radio_frequency,manned_aircraft,3,$$$,Location
radio_frequency,manned_vessel,3,$$$,Location
radio_frequency,on_shore_command_center,3,$$$,Location
radio_frequency,small_aerial_drone,1,$,Location
radio_frequency,smart_buoy,1,$,Location
radio_frequency,usv,2,$$,Location
